2026/03/13 00:08:22 age inserted          | id=bd345fd5-0fd2-583f-90d1-5744baefb4ee
2026/03/13 00:08:31 gender inserted       | id=8d338801-644a-53e3-9644-9fca2434fe90
2026/03/13 00:08:31 social_class inserted | id=9859d46c-ca08-50a0-8d4f-440557c83655
2026/03/13 00:08:31 target inserted       | id=65bacc2e-c518-570b-a93a-4423b20c0884
2026/03/13 00:08:31 geodata inserted      | id=bc4cb2c4-1849-5c2f-9eb2-e68c984f8ae3 target_id=65bacc2e-c518-570b-a93a-4423b20c0884
2026/03/13 00:08:31 OK | key=1551b810-ce48-4986-99d5-a54204cc4191 partition=0 offset=2363
2026/03/13 00:08:31 age inserted          | id=c1cdc0eb-cfda-5126-8435-68d210b42c4d
2026/03/13 00:08:31 gender inserted       | id=f9f5e4c8-506a-5f70-8d87-66ef0e1a3236
2026/03/13 00:08:31 social_class inserted | id=3774cd28-7183-5f43-a6c2-eb77ac7af303
2026/03/13 00:08:31 target inserted       | id=31d610b1-146d-534e-8261-de124b8fa18a
2026/03/13 00:08:31 geodata inserted      | id=42c88f8b-3d20-50e0-932a-1d682f296e9a target_id=31d610b1-146d-534e-8261-de124b8fa18a
2026/03/13 00:08:31 OK | key=e954c9c8-67c3-41f0-a8aa-acb657027978 partition=0 offset=2364
2026/03/13 00:08:31 age inserted          | id=9a1fbc6a-a8ce-5a3f-9150-f165bf8f19ce
2026/03/13 00:08:31 gender inserted       | id=1dd4696c-47e4-572d-a32b-27bdfbe3058c
2026/03/13 00:08:31 social_class inserted | id=360b1b49-1d5d-50ed-8939-67a5e9e24890
2026/03/13 00:08:31 target inserted       | id=0c613855-b150-58ac-95cf-67837d9fb9c1
2026/03/13 00:08:31 geodata inserted      | id=489561d6-82b4-5fe7-a66b-6e432f710087 target_id=0c613855-b150-58ac-95cf-67837d9fb9c1
2026/03/13 00:08:31 OK | key=d864a746-2803-4265-9752-254a0a7954fe partition=0 offset=2365
2026/03/13 00:08:31 age inserted          | id=39ff6a8f-c4db-53d3-b87d-9b99443211aa
2026/03/13 00:08:31 gender inserted       | id=1fad4035-32cf-5ff4-a2f0-43d501d23a5c
2026/03/13 00:08:31 social_class inserted | id=b926cddc-9fc1-5397-a1ae-2c1b53e2d88c
2026/03/13 00:08:31 target inserted       | id=067dc758-e4b2-5440-bb0b-2100927142d5
2026/03/13 00:08:31 geodata inserted      | id=c6d2ca20-5586-5683-9608-1d6aafef8308 target_id=067dc758-e4b2-5440-bb0b-2100927142d5
2026/03/13 00:08:31 OK | key=3c9aa231-db45-491c-a2c9-f72fc629b09d partition=0 offset=2366
2026/03/13 00:08:31 age inserted          | id=b6fd5203-f9d6-5691-8390-62c20d4e6c4a
2026/03/13 00:08:31 gender inserted       | id=3dd1b77f-8391-5a53-866e-eb724717b07d
2026/03/13 00:08:31 social_class inserted | id=701ca6ca-9d98-5b2b-9d3a-f8225b6aa1f4
2026/03/13 00:08:31 target inserted       | id=39ccceb5-6fdf-5911-b3af-294d4caea853
2026/03/13 00:08:31 geodata inserted      | id=ef9ede50-e747-560a-8003-b9cb71731bc2 target_id=39ccceb5-6fdf-5911-b3af-294d4caea853
2026/03/13 00:08:31 OK | key=d05c54df-774a-4846-aeb5-b84fa1e966a3 partition=0 offset=2367
2026/03/13 00:08:31 age inserted          | id=27e2ff90-3dbc-51d7-8a90-9f4529397157
2026/03/13 00:08:31 gender inserted       | id=ab873f68-1241-5c42-aaf2-80319834ad44
2026/03/13 00:08:31 social_class inserted | id=3e0aa2dc-525f-577c-bab6-1f0133d2e8c0
2026/03/13 00:08:31 target inserted       | id=a8bde1a8-79c7-5c60-94a4-d24f332f6c7f
2026/03/13 00:08:31 geodata inserted      | id=dbd75357-c538-56ec-89ed-b23ff31d5e05 target_id=a8bde1a8-79c7-5c60-94a4-d24f332f6c7f
2026/03/13 00:08:31 OK | key=f56dcd37-d173-49d2-a250-956bb8916691 partition=0 offset=2368
2026/03/13 00:08:31 age inserted          | id=15cdb2a9-a659-5a9e-b341-d7e0c7c93f21
2026/03/13 00:08:31 gender inserted       | id=52ac61e8-53ab-52b1-a188-a1e45989d464
2026/03/13 00:08:31 social_class inserted | id=4182258b-6d32-5743-9cd2-26c136515548
2026/03/13 00:08:31 target inserted       | id=3a2c0f0a-2742-5eb6-9efe-46f78f281da8
2026/03/13 00:08:31 geodata inserted      | id=926c64d2-ee08-5cae-ba1f-d45eaae6ec62 target_id=3a2c0f0a-2742-5eb6-9efe-46f78f281da8
2026/03/13 00:08:31 OK | key=1a64de46-2577-4a68-b83b-8b54290c2a2d partition=0 offset=2369
